"NKp44" "CD117" "CD127" "NKG2A" "CD16" "CRTH2" "CD45" "CD161" "CD56" "NCR2" "KIT" "IL7R" "KLRC1" "FCGR3A.B" "PTGDR2" "PTPRC" "KLRB1" "NCAM1" "All.Events.FSC.A.Mean" "All.Events.SSC.A.Mean"
"T75_P1_D2_NK" 25 -39 112 1508 -129 -152 5914 629 10450 -3.32192809488736 -3.32192809488736 10.3024777422285 11.3272018665918 -3.32192809488736 -3.32192809488736 9.69618968514451 10.1392449626026 7.74659768263426 69811 21553
"T75_P2_D2_NK" -14 -7 -20 605 57 24 3700 447 4150 0.702130615315295 -3.32192809488736 2.03076067753345 9.34785040023213 -3.32192809488736 -3.32192809488736 8.73764649458315 2.30997556118134 0.932130857154024 64953 17168
"T75_P4_D2_NK" -25 37 65 536 -87 -88 2490 878 7942 -3.32192809488736 -3.32192809488736 9.50657695640115 9.67800399847064 -3.32192809488736 -3.32192809488736 9.41334540555226 12.3246520434016 9.24016015531945 64704 8826
"T75_P1_D3_ILC3" 8 306 1003 -28 25 64 6195 2323 39 -3.32192809488736 -0.255736148087516 11.008593487124 1.92236582395311 -3.32192809488736 -3.32192809488736 10.6260603426914 12.0154790748727 -3.32192809488736 67744 14295
"T75_P2_D3_ILC3" 163 142 992 -31 -27 -14 6230 1502 -50 -3.32192809488736 7.26121439255894 8.91248783403861 9.21181590477635 -3.32192809488736 -3.32192809488736 9.29992405781331 -3.32192809488736 -3.32192809488736 66720 13388
"T75_P3_D3_ILC2" -24 10 486 -13 -14 525 4183 3216 154 -3.32192809488736 -3.32192809488736 9.83381997074205 -3.32192809488736 -3.32192809488736 7.9014426775104 10.5300326230174 12.0307551262892 -3.32192809488736 51975 6919
"T75_P4_D3_ILC1" -15 6 654 -46 -15 -63 9959 424 56 -3.32192809488736 -1.41750955653434 10.5198733328626 -3.32192809488736 -3.32192809488736 -3.32192809488736 11.6368184247462 1.03797964737728 0.116202813272354 76135 17045
"T75_P1_D5_ILC3" 535 286 948 -59 -143 -46 3777 5690 667 8.87263473320386 6.6673700506596 9.52856150777665 10.0374699783355 -3.32192809488736 -3.32192809488736 8.01859803116808 2.21183933554523 -3.32192809488736 64300 22436
"T75_P2_D5_ILC3" 991 277 1097 -69 -28 -14 5306 1406 93 9.14356966187441 -3.32192809488736 11.3461897193178 -3.32192809488736 -3.32192809488736 -3.32192809488736 11.0495867510242 -3.32192809488736 -3.32192809488736 55752 14134
"T75_P3_D5_ILC2" 649 44 651 -27 118 653 4644 2416 74 4.92053160561116 -3.32192809488736 9.49942524584453 10.2755800386327 -3.32192809488736 -3.32192809488736 10.2592136537678 10.2155050836056 -3.32192809488736 65619 9929
"T75_P4_D5_ILC1" 11 2 516 19 -51 2 8928 -44 152 -3.32192809488736 -3.32192809488736 6.73947104423973 -3.32192809488736 -3.32192809488736 -3.32192809488736 7.56930209789951 -3.32192809488736 -3.32192809488736 62860 9668
"T75_P1_D6_ILC3" -17 88 638 -34 -15 17 3590 1374 31 -3.32192809488736 -0.572074915718258 10.5586444729268 1.17300321747721 -3.32192809488736 -3.32192809488736 11.4216924949608 11.1332779927251 -3.32192809488736 57656 9428
"T75_P2_D6_ILC3" 1334 342 895 -41 42 16 8737 4698 257 9.76113224387393 6.32364198502722 10.9043291787287 8.85604656324028 -3.32192809488736 -3.32192809488736 9.5339268573195 1.31315325787349 -3.32192809488736 73343 11805
"T75_P4_D6_ILC1" -25 15 515 -36 -67 -229 8632 652 113 -3.32192809488736 -3.32192809488736 10.9411491801121 -3.32192809488736 -3.32192809488736 -3.32192809488736 9.20157193449103 -3.32192809488736 -3.32192809488736 58444 12233
"T75_P1_D7_ILC3" 524 692 429 -10 79 47 8365 3640 495 -3.32192809488736 -0.135813004875832 8.1593719365702 1.97702111490854 -3.32192809488736 -3.32192809488736 10.1108558057649 11.1157233520264 0.20852904007725 66414 17945
"T75_P2_D7_ILC3" 1073 82 624 -28 -121 -20 5610 2840 177 9.12213095583592 6.84097474269516 7.36575421608683 -3.32192809488736 -3.32192809488736 -3.32192809488736 10.280531816432 11.2622980796942 -3.32192809488736 70928 16923
"T75_P3_D7_ILC2" -61 60 551 -75 54 1258 2513 5888 -79 -3.32192809488736 -3.32192809488736 9.91407205211823 -3.32192809488736 -3.32192809488736 -3.32192809488736 6.65436803369523 11.458329250814 -3.32192809488736 53259 7087
"T75_P4_D7_ILC1" 85 58 1124 -41 16 -49 6341 2436 44 3.52819315349368 5.29606401605136 10.5281628733864 -3.32192809488736 -3.32192809488736 -3.32192809488736 1.16484644227835 9.96846601290435 -3.32192809488736 65923 24227
"T75_P1_D8_ILC3" 832 387 1168 -77 53 36 4985 1825 -53 4.53307963420572 -3.32192809488736 9.80632852513747 -3.32192809488736 -3.32192809488736 -3.32192809488736 10.3734574024394 10.8308620478275 -0.659580527948284 50891 19636
"T75_P2_D8_ILC3" 728 273 568 16 -57 13 4499 4084 126 -3.32192809488736 7.48302205460824 10.71474754571 9.91443571872132 -3.32192809488736 -3.32192809488736 10.4571724347123 11.0686048611738 -0.586182177021437 67176 13979
"T75_P3_D8_ILC2" -40 10 945 -54 11 577 4372 4798 -76 -3.32192809488736 -3.32192809488736 10.8316367986779 -3.32192809488736 -3.32192809488736 -3.32192809488736 7.27657712706048 5.64249076996393 -3.32192809488736 53054 8275
"T75_P4_D8_ILC1" -9 -9 592 -36 -45 14 5865 904 162 -3.32192809488736 -3.32192809488736 6.84323401708244 -3.32192809488736 -3.32192809488736 -3.32192809488736 9.80550086579395 4.09570583491379 -0.914408273162854 67635 9138
"T75_P1_E1_ILC3" 1293 395 887 -73 -144 9 4219 2716 1861 7.87069951474683 8.11861684336009 9.42831250697506 11.4195539248845 -3.32192809488736 -3.32192809488736 9.83907845455035 9.6640225938664 -1.02807805645039 64463 24356
"T75_P2_E1_ILC3" 385 405 807 12 34 7 5693 1398 53 -3.32192809488736 8.32733102965047 10.8529716951234 -3.32192809488736 -3.32192809488736 -3.32192809488736 10.85840047748 2.77983662470577 -3.32192809488736 59205 24514
"T75_P4_E1_ILC1" -43 19 607 -37 -3 90 9351 459 -28 -3.32192809488736 -3.32192809488736 7.49112049243958 -3.32192809488736 -3.32192809488736 -3.32192809488736 10.8075948884619 -3.32192809488736 -2.14309501911952 77018 16740
"T75_P1_E10_ILC3" 1572 318 938 -54 -54 -7 5779 3523 457 -3.32192809488736 0.807025980065968 10.0706151978908 9.97342154567617 -3.32192809488736 -3.32192809488736 6.7053433559987 -3.32192809488736 -3.32192809488736 64671 17506
"T75_P2_E10_ILC3" -40 821 866 -33 86 -10 4895 6013 87 -3.32192809488736 -0.00802816853613639 9.35631646131779 -3.32192809488736 -3.32192809488736 -3.32192809488736 -0.378931867024189 9.13597954003671 -3.32192809488736 64934 14805
"T75_P3_E10_ILC2" -52 -49 802 -37 -13 568 3389 2706 -21 -3.32192809488736 -3.32192809488736 11.0030855656392 -3.32192809488736 -3.32192809488736 -3.32192809488736 10.2530864987061 10.231402755728 -3.32192809488736 53472 8350
"T75_P4_E10_ILC1" 6 11 522 -25 2 121 3412 734 10 -3.32192809488736 -3.32192809488736 9.96225426226413 -3.32192809488736 -3.32192809488736 -3.32192809488736 11.3432666151194 10.3991515955748 -1.10232803919677 58458 9680
"T75_P1_E11_ILC3" -48 40 388 -47 0 1049 4976 4572 -2 -3.32192809488736 -0.795258811441614 10.0794729773996 1.23597677922401 -3.32192809488736 -3.32192809488736 11.5954143396526 7.21826627582475 -3.32192809488736 67202 13170
"T75_P2_E11_ILC3" 603 90 395 14 6 87 4532 2976 81 -3.32192809488736 -3.32192809488736 10.4773070119434 10.1284179838798 -3.32192809488736 -3.32192809488736 8.42193981108927 11.6334015812814 -3.32192809488736 59621 9726
"T75_P1_E12_ILC3" 1286 585 619 3 151 -16 4358 3691 124 -3.32192809488736 9.50332124151647 9.82665276642613 -3.32192809488736 -3.32192809488736 -3.32192809488736 10.3924063234057 1.24121517707144 -1.28927410539841 69571 25708
"T75_P3_E12_ILC2" 36 318 894 -37 12 548 2384 2783 191 -3.32192809488736 8.5367976465892 9.46481732072506 -3.32192809488736 -0.143253214340857 -3.32192809488736 7.59572394028924 9.36166421133323 -1.83491022858713 60921 14195
"T75_P4_E12_ILC1" 0 -23 429 -3 -17 -24 6697 60 23 -3.32192809488736 -3.32192809488736 9.27722339441348 -3.32192809488736 -3.32192809488736 -3.32192809488736 8.67887468031936 -3.32192809488736 -3.32192809488736 71950 13098
"T75_P1_E2_ILC3" 1374 469 582 -32 -80 37 3307 1520 108 9.50078909580808 1.59311331830134 10.676828953966 10.5141125747258 -3.32192809488736 -3.32192809488736 10.4017513653623 6.83343746063596 2.11981212686669 76823 19737
"T75_P2_E2_ILC3" 9 178 595 25 38 101 1667 2469 -11 -3.32192809488736 7.77231255418678 11.4215374575938 -3.32192809488736 -3.32192809488736 -3.32192809488736 9.35189965855965 10.2530298279272 -3.32192809488736 67636 12232
"T75_P3_E2_ILC2" -84 477 456 -19 -72 400 7259 5691 341 -3.32192809488736 -3.32192809488736 9.01818214871319 -3.32192809488736 -3.32192809488736 0.526672430385864 9.55581060252864 11.3544353785885 -3.32192809488736 68990 18756
"T75_P4_E2_ILC1" 20 -20 490 -17 -32 65 10106 42 64 -3.32192809488736 -3.32192809488736 10.180464805887 -3.32192809488736 0.641665705988777 -3.32192809488736 7.66613812386483 -3.32192809488736 -3.32192809488736 77255 12230
"T75_P1_E3_ILC3" 533 304 1070 -51 9 51 3015 1750 109 0.71553462925621 8.56503919635999 10.6566375435136 10.2879518031426 -3.32192809488736 -3.32192809488736 8.0611725493636 7.88023706353564 -3.32192809488736 60677 17515
"T75_P2_E3_ILC3" 1870 555 784 -49 -45 20 10981 3560 366 0.406131240872301 -1.71469294070264 8.22298722894359 4.74966270104797 -3.32192809488736 -3.32192809488736 11.1140241857277 10.9567428628232 -0.248721213884022 77332 17290
"T75_P3_E3_ILC2" -28 48 865 -16 -30 660 4788 4459 179 -3.32192809488736 -3.32192809488736 10.0201560654137 -3.32192809488736 -3.32192809488736 8.53894110908902 -0.237877161145824 1.8916967816854 0.0813504505381739 54196 10150
"T75_P4_E3_ILC1" -13 14 430 -25 -52 61 7040 111 36 -3.32192809488736 -3.32192809488736 10.4110643629949 -3.32192809488736 -3.32192809488736 -3.32192809488736 10.4882522937613 -3.32192809488736 -3.32192809488736 76470 13712
"T75_P1_E4_ILC3" 1462 116 740 29 59 -6 5573 1353 220 -3.32192809488736 1.3170862791049 7.732314858469 5.77382061067531 -3.32192809488736 -3.32192809488736 9.72323217330023 11.8475808387142 -0.409938486485936 68728 14281
"T75_P2_E4_ILC3" 522 82 905 -29 -51 -112 7405 1156 101 -3.32192809488736 -0.537625212057541 10.762838293291 4.88068945707967 -3.32192809488736 -3.32192809488736 10.0309596562759 2.08076680185605 -3.32192809488736 62803 17839
"T75_P3_E4_ILC2" -83 5 823 -2 -49 708 5217 7450 117 -3.32192809488736 -3.32192809488736 11.6667041592621 0.921277697856957 -3.32192809488736 -3.32192809488736 8.88099119689514 11.6152810105052 -0.48060957703792 59930 13738
"T75_P4_E4_ILC1" 64 1 451 -1 -73 -6 8035 2844 199 -3.32192809488736 -3.32192809488736 10.2896810406166 5.55577230313964 -3.32192809488736 -3.32192809488736 11.1552233452055 10.4799461992202 -1.39321648241531 63297 8558
"T75_P1_E5_ILC3" 1353 620 757 -8 67 38 5285 1990 159 -3.32192809488736 8.14543645993763 9.50904476435527 -3.32192809488736 -3.32192809488736 -3.32192809488736 11.7270312563622 1.91230422837557 -3.32192809488736 66703 13377
"T75_P2_E5_ILC3" 2959 215 474 -41 55 39 5175 2897 258 8.56138842406727 7.311372872785 8.17962683371578 3.91016014667899 -3.32192809488736 -3.32192809488736 10.1977708951412 5.53891750772586 -3.32192809488736 71774 19589
"T75_P3_E5_ILC2" -83 93 586 -46 53 595 4836 6691 66 -3.32192809488736 -1.79267834964697 10.0432876314263 -3.32192809488736 -3.32192809488736 -1.13647764988144 9.79777221569607 11.5593583408475 -1.81910090309449 58181 10160
"T75_P4_E5_ILC1" -20 1 663 -27 -68 -121 12061 2649 80 -3.32192809488736 -3.32192809488736 9.32402304620643 0.948335946637846 -3.32192809488736 -3.32192809488736 11.259920200805 -3.32192809488736 -1.84810752247644 62428 11413
"T75_P1_E6_NK" 47 -23 7 830 -98 1 3854 1097 9718 -3.32192809488736 -0.503055694577954 3.99051697887017 9.2036343135653 -3.32192809488736 -3.32192809488736 5.90090944968549 9.35632410772939 10.6666114342144 77595 21445
"T75_P2_E6_NK" -2 93 181 482 -299 -103 3712 1307 11456 0.392761208048383 7.88990968390219 9.57202823455206 -3.32192809488736 -3.32192809488736 -3.32192809488736 8.36807888385081 10.635713407707 8.26128141108073 70706 16818
"T75_P3_E6_NK" -15 48 50 1373 31 -76 6553 1165 8424 -3.32192809488736 -0.531258024059731 9.56956782483654 10.6239644843268 8.81721414773061 -1.08558721953049 9.58858770341818 2.51585434601056 7.12970741877807 70590 17226
"T75_P4_E6_NK" 18 -6 88 1959 1 211 5778 412 8463 -3.32192809488736 -3.32192809488736 6.90194065974434 11.1413325658438 -3.32192809488736 -3.32192809488736 10.2520511194498 10.1298545207625 3.34123379029899 68812 16871
"T75_P2_E7_NK" 55 114 57 610 -109 -150 3679 1356 7416 0.670211713973254 -1.08367037235215 9.87417021848558 10.8147040273796 -3.32192809488736 -3.32192809488736 10.0569867783136 0.905942160832056 -3.32192809488736 64439 13794
"T75_P3_E7_NK" -39 26 -7 557 -144 -57 8201 714 4105 -3.32192809488736 0.715574657292064 1.13146620314679 11.3376718433728 1.82974425801277 -3.32192809488736 9.59321888963196 0.507610287643839 6.87714325837347 73132 14720
"T75_P4_E7_NK" 20 9 13 270 -98 10 6231 2575 8333 -3.32192809488736 -3.32192809488736 9.23458478611087 8.18459117363656 -3.32192809488736 -3.32192809488736 10.2023979536623 10.4019444563246 4.04538314139762 67436 15245
"T75_P2_E8_ILC3" 55 107 555 -10 -27 41 3651 236 58 -3.32192809488736 -3.32192809488736 10.3743015426535 2.87263983052506 -3.32192809488736 -3.32192809488736 10.7935819577062 2.31011380941199 -3.32192809488736 58950 19648
"T75_P3_E8_ILC2" 5 -9 654 11 -52 1145 4317 1825 82 -3.32192809488736 -3.32192809488736 8.72397224730504 -3.32192809488736 1.70753397851867 -3.32192809488736 11.0738731021045 11.4347296682614 -0.25643746199168 49333 7605
"T75_P4_E8_ILC1" -24 14 495 8 -24 -173 9473 532 1 -3.32192809488736 -3.32192809488736 7.72955425096258 -3.32192809488736 -3.32192809488736 -3.32192809488736 7.87375640399111 -3.32192809488736 -3.32192809488736 70737 15229
"T75_P2_E9_ILC3" 965 257 842 -31 84 73 4856 2533 223 8.91155124546941 5.59610031793451 2.51350359515831 -3.32192809488736 -3.32192809488736 -3.32192809488736 10.3920785953333 10.4305099081494 -3.32192809488736 62559 13483
"T75_P3_E9_ILC2" -52 98 802 -74 -43 482 6131 6661 108 -3.32192809488736 -3.32192809488736 0.830153424340963 -3.32192809488736 -3.32192809488736 -3.32192809488736 -0.0981626094077128 9.70477241446068 -3.32192809488736 61989 10770
"T75_P4_E9_ILC1" 14 55 407 -34 -19 -71 6430 2406 61 -3.32192809488736 -3.32192809488736 9.34487537708414 4.12871551269778 -3.32192809488736 -3.32192809488736 9.69239555711542 -3.32192809488736 -3.32192809488736 46534 10753
"T75_P1_F1_ILC3" 92 337 983 -29 -27 140 4039 1751 112 6.26881252418486 7.25766431600267 10.4868745395556 8.6147442453866 -3.32192809488736 -3.32192809488736 9.27441715849622 9.41776111653861 0.916109119323414 77025 17147
"T75_P2_F1_ILC3" 1014 162 496 14 12 75 4519 2919 146 8.4157969780914 -1.1312447227551 11.3496309414258 -3.32192809488736 -3.32192809488736 -3.32192809488736 11.4816443447262 11.5912026454826 -3.32192809488736 71095 12169
"T75_P1_F10_ILC3" 158 423 485 -16 -26 66 3797 2824 5667 2.15517875789146 -3.32192809488736 12.0752489328047 -3.32192809488736 -3.32192809488736 -3.32192809488736 1.7233315114999 7.6482335822898 -3.32192809488736 71552 18500
"T75_P2_F10_ILC3" 142 465 379 -40 93 42 2716 3123 266 -3.32192809488736 -3.32192809488736 11.2310439363164 1.58409228123597 -3.32192809488736 -3.32192809488736 -3.32192809488736 11.347645540721 -3.32192809488736 67719 16379
"T75_P3_F10_ILC2" -26 91 550 -38 10 398 4305 633 -4 -3.32192809488736 -3.32192809488736 9.97344144181857 -3.32192809488736 -3.32192809488736 -3.32192809488736 9.74085500194996 10.6182158473982 -3.32192809488736 69577 14112
"T75_P4_F10_ILC1" -12 13 563 17 -81 -60 10617 301 90 -3.32192809488736 -3.32192809488736 6.75389182736184 -3.32192809488736 -3.32192809488736 -3.32192809488736 10.8102146026028 -3.32192809488736 -3.32192809488736 71343 13922
"T75_P1_F11_ILC3" 43 1087 620 -36 69 69 2939 2160 316 1.28957325720227 8.7275620291267 8.76256116360617 -3.32192809488736 -3.32192809488736 -3.32192809488736 1.19291652611501 8.0954084556861 -3.32192809488736 66279 15021
"T75_P2_F11_ILC3" 457 430 702 -35 84 -33 5049 1797 113 -3.32192809488736 10.4915276668756 9.81227573932199 9.19441924472466 -3.32192809488736 -3.32192809488736 9.60587397416479 1.02004413617461 -1.46086542343742 58050 20532
"T75_P3_F11_ILC2" -89 105 413 -38 -24 690 5618 8422 148 -3.32192809488736 -3.32192809488736 6.56891717805573 -3.32192809488736 -3.32192809488736 -3.32192809488736 7.78220214214403 12.8898295582115 -3.32192809488736 58603 8886
"T75_P4_F11_ILC1" -90 14 373 -74 -45 109 5920 9194 83 -3.32192809488736 -3.32192809488736 10.6648751282283 -3.32192809488736 -3.32192809488736 -3.32192809488736 9.6844391551118 11.5754554591259 -2.29548625907629 70912 12088
"T75_P1_F12_ILC3" 998 309 426 -15 -4 -120 6531 2443 179 -3.32192809488736 -0.434863583681178 1.96520727028888 0.923304176944512 -3.32192809488736 -3.32192809488736 3.48163102452507 2.21876068683927 -3.32192809488736 64595 15231
"T75_P3_F12_ILC2" -26 7 563 -28 -81 521 5241 2339 129 -3.32192809488736 -3.32192809488736 11.1002537304213 -3.32192809488736 -3.32192809488736 -1.375367219554 7.90250138695628 9.73376316587566 -3.32192809488736 61910 10756
"T75_P4_F12_ILC1" -38 -12 674 -62 -57 73 3617 3579 154 -3.32192809488736 -3.32192809488736 9.36744945184118 -3.32192809488736 0.914385295762852 -3.32192809488736 8.96812678862794 1.19845547544094 -3.32192809488736 63850 10319
"T75_P1_F2_ILC3" 335 281 424 -53 108 -71 4288 1369 27 -3.32192809488736 -0.321631675978054 10.0689204900128 11.0990023542127 -3.32192809488736 -3.32192809488736 2.83404367745363 9.73177059299629 -0.3571196614566 57452 10308
"T75_P2_F2_ILC3" 1329 119 403 -8 -52 -56 4786 4370 334 9.0664216692583 6.1648568484401 12.3343804577804 -3.32192809488736 -3.32192809488736 -3.32192809488736 8.58468812859161 11.3226535905251 0.227061858332953 66812 21627
"T75_P3_F2_ILC2" -22 19 409 -12 27 405 4143 6418 20 -3.32192809488736 -3.32192809488736 10.3875625073435 -3.32192809488736 -3.32192809488736 -3.32192809488736 6.42660040900073 11.5209478331085 -0.638780007101551 61800 11320
"T75_P1_F3_ILC3" 318 1195 1191 -16 136 86 3574 1526 570 -3.32192809488736 6.6004178298539 10.122324618682 10.1223041397958 -3.32192809488736 -3.32192809488736 10.3941771726481 -3.32192809488736 -3.32192809488736 67627 20301
"T75_P2_F3_ILC3" 8 404 1009 -38 -64 -14 3267 3150 163 -3.32192809488736 -1.20051257645265 11.3822357077844 0.444685542071348 -3.32192809488736 -3.32192809488736 6.02835106571967 9.26472270482631 -1.65151697836536 64500 16317
"T75_P3_F3_ILC2" -75 237 792 -164 8 1991 5264 17569 176 -3.32192809488736 -3.32192809488736 8.93404509170718 -3.32192809488736 -3.32192809488736 8.99692608213872 9.61327989131779 11.847591672714 -1.82302403322978 68747 13868
"T75_P4_F3_ILC1" -12 -8 501 -3 -23 -36 6491 381 85 -3.32192809488736 -3.32192809488736 9.35115656511796 -3.32192809488736 -3.32192809488736 -3.32192809488736 9.41601853431565 0.682452660131108 -3.32192809488736 61943 9768
"T75_P1_F4_ILC3" 24 9 1177 27 24 118 1949 3113 375 8.67193523557982 8.18700729467073 11.9406574643927 0.522200738995734 -3.32192809488736 -3.32192809488736 8.22729183099831 8.19952333340386 -3.32192809488736 59513 15777
"T75_P2_F4_ILC3" 177 390 745 -39 -46 68 1885 1122 103 0.558171766210009 8.75894872983863 10.7323906686028 8.95289209877833 -3.32192809488736 -3.32192809488736 8.84821294143802 10.3219853088403 -3.32192809488736 73406 15242
"T75_P3_F4_ILC2" -7 451 500 -33 69 417 7564 3372 -23 -3.32192809488736 -3.32192809488736 10.314608832552 -3.32192809488736 -3.32192809488736 -3.32192809488736 8.29355453201181 10.0892110620116 -1.94537519712636 74112 15266
"T75_P1_F5_ILC3" 499 246 948 -53 -40 -1 3632 3621 116 1.51681946452519 -3.32192809488736 10.3498110757994 1.42619485419512 -3.32192809488736 -3.32192809488736 9.3709783809379 10.7791188107325 -3.32192809488736 59398 20514
"T75_P2_F5_ILC3" 660 648 853 -18 21 2 4520 1457 439 -3.32192809488736 6.51485668179282 9.51790498787342 -3.32192809488736 -3.32192809488736 -3.32192809488736 1.49384579868405 10.2201117680406 -3.32192809488736 61740 22729
"T75_P3_F5_ILC2" -64 302 729 -37 -21 570 7488 1454 101 -3.32192809488736 -3.32192809488736 -0.741767436383493 -3.32192809488736 -3.32192809488736 -1.40284726834873 9.49439664159927 1.92276228729571 -3.32192809488736 59762 12730
"T75_P4_F5_ILC1" -40 26 600 -21 -85 -52 8394 1445 114 -3.32192809488736 -3.32192809488736 9.31725623392608 -3.32192809488736 -3.32192809488736 -3.32192809488736 11.7413395007587 10.3662871611285 -3.32192809488736 70239 16048
"T75_P1_F6_ILC3" 253 70 405 -10 -18 -20 5326 585 118 9.52776540245016 -3.32192809488736 11.1274475987082 10.0685956269002 -3.32192809488736 -3.32192809488736 11.8068727416341 11.6537325666141 -3.32192809488736 63669 16948
"T75_P2_F6_ILC3" 129 277 700 -61 44 35 5157 2608 253 -3.32192809488736 -1.86479379878457 10.1976246066393 9.5489922058487 -3.32192809488736 -3.32192809488736 9.78368534009281 9.58981583112334 -0.461957791721706 63060 10681
"T75_P4_F6_ILC1" -2 1 557 -25 -34 17 7530 125 95 -3.32192809488736 -3.32192809488736 7.24199052334107 0.166244979455442 -3.32192809488736 -3.32192809488736 9.32962616443217 -3.32192809488736 -3.32192809488736 60943 11046
"T75_P1_F7_ILC3" 1316 220 534 -21 -88 -16 5827 1503 174 10.8196198516048 -1.3728834926596 8.65422084225749 -3.32192809488736 -3.32192809488736 -3.32192809488736 11.5426658606058 11.7916280990077 -1.40287943192825 57308 19327
"T75_P2_F7_ILC3" 1506 178 937 -23 47 55 5300 2471 166 2.59344281561581 6.78792806944796 9.65145935058714 9.77108975398869 -3.32192809488736 -3.32192809488736 8.44120428250458 10.1914904589099 -1.91659465770751 68313 22984
"T75_P3_F7_ILC2" 956 58 394 -14 -4 382 4844 1359 67 9.80565533827181 -3.32192809488736 8.44567422703645 10.7312066030634 -3.32192809488736 -3.32192809488736 10.6867986845408 10.5318910899551 -3.32192809488736 64441 13500
"T75_P4_F7_ILC1" -15 13 624 -4 -33 -34 5967 443 -4 -3.32192809488736 -3.32192809488736 0.703954127360909 -3.32192809488736 -3.32192809488736 -3.32192809488736 9.88537952960557 8.90555353877367 -3.32192809488736 76248 13941
"T75_P1_F8_ILC3" 1245 137 436 -30 -27 -28 6402 2152 16 -3.32192809488736 -3.32192809488736 8.51894675230852 1.36384143364438 -3.32192809488736 -3.32192809488736 11.6041481196044 1.24837899135532 -3.32192809488736 75925 12921
"T75_P2_F8_ILC3" 800 256 410 -17 -36 -83 5687 1794 143 -3.32192809488736 -1.22127933148164 9.50569786283035 -0.0698482822818412 -3.32192809488736 -3.32192809488736 9.71219390245903 11.1538236253964 -3.32192809488736 63577 11592
"T75_P3_F8_ILC2" -45 45 682 -50 -11 464 3783 4938 112 -3.32192809488736 -3.32192809488736 9.09360602637601 -3.32192809488736 -3.32192809488736 -3.32192809488736 9.07536497064596 10.2640849174318 -3.32192809488736 53026 8590
"T75_P4_F8_ILC1" -23 16 441 -21 -84 12 6918 368 139 -3.32192809488736 -3.32192809488736 10.3891643410115 -3.32192809488736 -3.32192809488736 -3.32192809488736 8.62341718540198 0.500653205121184 -3.32192809488736 67282 16516
"T75_P3_F9_ILC2" -52 157 965 -123 -47 408 4596 8808 173 -3.32192809488736 -3.32192809488736 9.40371149072445 -3.32192809488736 -3.32192809488736 -3.32192809488736 2.98163641381398 10.2047722904286 -3.32192809488736 62385 12704
"T75_P4_F9_ILC1" 15 -6 435 -3 -61 -35 7944 -96 119 -3.32192809488736 -3.32192809488736 8.47766127356396 -3.32192809488736 -3.32192809488736 -3.32192809488736 10.2476970645127 3.02562006704563 -3.32192809488736 72729 16573
"T75_P1_G1_ILC3" 51 563 610 -29 -24 20 3889 1705 258 -3.32192809488736 -1.85316079081576 10.6283198416195 -3.32192809488736 -3.32192809488736 -3.32192809488736 4.24380787778941 11.0595859341287 -1.87897823616127 66031 11551
"T75_P3_G1_ILC2" -44 10 382 -88 -89 831 4805 7908 197 -3.32192809488736 -3.32192809488736 8.09089894465566 1.31178938602986 -3.32192809488736 7.33567518332566 9.91872883448487 2.86499255991513 -3.32192809488736 49711 9068
"T75_P4_G1_ILC1" -37 31 471 -21 -60 -74 9176 31 32 -3.32192809488736 -3.32192809488736 10.7541967035764 -3.32192809488736 -3.32192809488736 -3.32192809488736 9.34148117855633 -3.32192809488736 -1.97427441116824 80894 17419
"T75_P1_G10_ILC3" -48 378 781 -31 49 -94 4800 2320 88 -3.32192809488736 0.145947044323918 10.6795571243714 11.3733235370587 -3.32192809488736 -3.32192809488736 2.79019709182492 12.2629021121354 -3.32192809488736 49349 14140
"T75_P3_G10_ILC2" -66 391 571 -39 51 489 4828 7742 17 -3.32192809488736 -3.32192809488736 9.77184199375334 1.35508733901696 -3.32192809488736 -3.32192809488736 -1.41810355859406 11.2942314044402 -3.32192809488736 67183 12639
"T75_P4_G10_ILC1" 19 -22 600 -31 -51 -72 9012 315 75 -3.32192809488736 -3.32192809488736 8.35856833785869 -3.32192809488736 -3.32192809488736 -3.32192809488736 10.5272658235465 1.47774210718992 -3.32192809488736 71486 10700
"T75_P2_G12_ILC3" 61 89 730 -4 -117 14 4053 883 1335 -3.32192809488736 -3.32192809488736 9.30387982687883 -3.32192809488736 -3.32192809488736 -3.32192809488736 9.88579815508518 12.2129057107495 -1.51119122063535 62843 13023
"T75_P3_G12_ILC2" -84 163 437 -79 -31 550 5140 9590 159 -3.32192809488736 -3.32192809488736 8.78136776571439 -3.32192809488736 -3.32192809488736 -1.21193815019419 4.94252144373798 10.6742365502134 -3.32192809488736 64440 13041
"T75_P4_G12_ILC1" -10 52 456 -4 39 -59 8699 553 289 -3.32192809488736 -3.32192809488736 11.0658419746797 8.01091555869326 -3.32192809488736 -3.32192809488736 8.05764538755517 9.74297042890121 -2.04460378622318 66203 13318
"T75_P1_G3_ILC3" 1304 358 1082 -78 32 58 1507 4313 -95 9.78235962050898 8.10140330527826 11.5008960528537 0.397678681510454 -3.32192809488736 -3.32192809488736 9.48992236652255 11.3674439040949 -0.939249929422523 50859 20299
"T75_P2_G3_ILC3" -40 243 672 -45 29 73 2982 4671 22 8.2874644573742 7.18600513246173 10.7331670181459 -3.32192809488736 -3.32192809488736 -3.32192809488736 10.0188523215435 8.97684763094091 -3.32192809488736 80193 14983
