"Gene" "Idx"
"954" "ADAM10" "1918"
"955" "RHOH" "30737"
"956" "BPI" "15571"
"957" "CD48" "53496"
"958" "CNR1" "1870"
"959" "CNR2" "1873"
"960" "CSF1" "59191"
"961" "EDN2" "17714"
"962" "IL8" "54969"
"963" "MT1G" "24752"
"964" "PTPRE" "52359"
"965" "S100A12" "16781"
"966" "CCL5" "43079"
"967" "SLC7A2" "15391"
"968" "TFF2" "61640"
"969" "THBS1" "60593"
"970" "CXCR4" "16286"
"971" "PLA2G10" "28495"
"972" "ADAM9" "14891"
"973" "PRG3" "58995"
"974" "NDRG1" "49932"
"975" "CD93" "30169"
"976" "SHPK" "39704"
"977" "PREX1" "17751"
"978" "ZC3H12A" "6897"
"979" "SPACA3" "33366"
"980" "IL31RA" "53555"
"981" "ATM" "42019"
"982" "LRRC8A" "53924"
"983" "IL7" "54960"
"984" "GALNT2" "29430"
"985" "TRAF3IP2" "38255"
"986" "CALR" "3957"
"987" "CCR1" "56774"
"988" "CCR5" "56778"
"989" "CCR6" "56779"
"990" "CXCR1" "16282"
"991" "ARHGEF5" "24026"
"992" "HRG" "31152"
"993" "ADCYAP1" "32853"
"994" "GPX1" "63631"
"995" "GPX2" "63635"
"996" "RBPJ" "30672"
"997" "IL1RN" "57835"
"998" "IL5RA" "43831"
"999" "NOTCH2" "3313"
"1000" "PSMB4" "5300"
"1001" "NPFF" "56565"
"1002" "PNMA1" "44451"
"1003" "VIMP" "41995"
"1004" "IL25" "2357"
"1005" "AK7" "23638"
"1006" "MMP7" "24871"
"1007" "BLMH" "51032"
"1008" "CANX" "23233"
"1009" "CYBA" "22015"
"1010" "CYBB" "22014"
"1011" "FCGR1B" "46633"
"1012" "PDIA3" "45514"
"1013" "ITGAV" "102"
"1014" "ITGB5" "7931"
"1015" "LNPEP" "677"
"1016" "NCF2" "44478"
"1017" "NCF4" "44480"
"1018" "PSMA1" "26916"
"1019" "PSMA2" "26913"
"1020" "PSMA3" "22431"
"1021" "PSMA4" "26923"
"1022" "PSMA5" "26924"
"1023" "PSMA6" "26918"
"1024" "PSMA7" "26922"
"1025" "PSMB1" "880"
"1026" "PSMB2" "879"
"1027" "PSMB3" "878"
"1028" "PSMB5" "876"
"1029" "PSMB6" "875"
"1030" "PSMB7" "16155"
"1031" "PSMB8" "873"
"1032" "PSMB9" "872"
"1033" "PSMB10" "23790"
"1034" "PSMC1" "42971"
"1035" "PSMC2" "42972"
"1036" "PSMC3" "42973"
"1037" "PSMC4" "42974"
"1038" "PSMC5" "42975"
"1039" "PSMC6" "42976"
"1040" "PSMD1" "17194"
"1041" "PSMD2" "17196"
"1042" "PSMD3" "17195"
"1043" "PSMD4" "17191"
"1044" "PSMD5" "17190"
"1045" "PSMD7" "17192"
"1046" "PSMD8" "17189"
"1047" "PSMD9" "39268"
"1048" "PSMD10" "3861"
"1049" "PSMD11" "3860"
"1050" "PSMD12" "3863"
"1051" "PSMD13" "3862"
"1052" "PSME1" "56625"
"1053" "PSME2" "56623"
"1054" "SEC13" "40372"
"1055" "TAPBP" "61374"
"1056" "TPP2" "61537"
"1057" "UBE2A" "39376"
"1058" "PSMF1" "33498"
"1059" "NPEPPS" "28974"
"1060" "SEC24C" "35848"
"1061" "PSMD6" "17193"
"1062" "SEC24D" "35846"
"1063" "BCAP31" "28104"
"1064" "PSME3" "56624"
"1065" "PSMD14" "3859"
"1066" "SEC24B" "35849"
"1067" "IFI30" "4508"
"1068" "SEC23A" "45218"
"1069" "SEC24A" "35847"
"1070" "SEC61B" "41131"
"1071" "SEC31A" "26264"
"1072" "PSME4" "56622"
"1073" "SEC61G" "50600"
"1074" "SEC61A1" "679"
"1075" "SAR1B" "26463"
"1076" "ERAP1" "28441"
"1077" "SEC61A2" "680"
"1078" "ERAP2" "28440"
"1079" "PSMB11" "23789"
"1080" "PSMA8" "26927"
"1081" "CD1A" "46431"
"1082" "CD1B" "46429"
"1083" "CD1D" "46427"
"1084" "CD1E" "46428"
"1085" "CENPE" "32067"
"1086" "CLTA" "51166"
"1087" "CLTC" "51168"
"1088" "CTSD" "5209"
"1089" "CTSE" "5211"
"1090" "DCTN1" "7842"
"1091" "DYNC1H1" "44150"
"1092" "DYNC1I1" "2111"
"1093" "DYNC1I2" "2113"
"1094" "DYNC1LI2" "18660"
"1095" "DNM2" "49188"
"1096" "HLA-DMB" "19378"
"1097" "HLA-DOA" "8376"
"1098" "HLA-DOB" "8377"
"1099" "KIF2A" "36081"
"1100" "KIF3C" "13125"
"1101" "KIF5A" "61262"
"1102" "KLC1" "5706"
"1103" "KIF11" "29448"
"1104" "KIF22" "36110"
"1105" "SH3GL2" "32451"
"1106" "SPTBN2" "43945"
"1107" "RAB7A" "28977"
"1108" "DYNLL1" "10940"
"1109" "CTSF" "5212"
"1110" "KIF3B" "13124"
"1111" "KIF23" "36109"
"1112" "ACTR1B" "22729"
"1113" "ACTR1A" "22730"
"1114" "DCTN2" "7840"
"1115" "DCTN6" "44460"
"1116" "KIF2C" "36083"
"1117" "KIF3A" "13126"
"1118" "DCTN3" "7841"
"1119" "KIFAP3" "12128"
"1120" "KIF4A" "22699"
"1121" "KIF26A" "24952"
"1122" "RACGAP1" "47768"
"1123" "DCTN4" "7846"
"1124" "DYNC2LI1" "16192"
"1125" "KIF15" "29446"
"1126" "KLC2" "5710"
"1127" "DYNC2H1" "35925"
"1128" "KIF18A" "27440"
"1129" "RILP" "51694"
"1130" "DCTN5" "7847"
"1131" "KIF2B" "36084"
"1132" "OSBPL1A" "31108"
"1133" "DYNLL2" "10942"
"1134" "KIF4B" "22698"
"1135" "MARCH1" "43019"
"1136" "MARCH8" "38002"
"1137" "CCR4" "56777"
"1138" "IDO1" "53928"
"1139" "LILRB2" "41798"
"1140" "ICOS" "35512"
"1141" "ADD2" "62158"
"1142" "PARP1" "48038"
"1143" "JAG1" "47600"
"1144" "ANGPT1" "50685"
"1145" "ANXA2" "27912"
"1146" "APC" "18188"
"1147" "NKX3-2" "51256"
"1148" "BLM" "61309"
"1149" "CXCR5" "16285"
"1150" "BMI1" "55458"
"1151" "BRCA2" "36094"
"1152" "ZFP36L1" "34538"
"1153" "ZFP36L2" "34539"
"1154" "CASP9" "44387"
"1155" "RUNX2" "55751"
"1156" "CBFA2T3" "24891"
"1157" "CBFB" "55504"
"1158" "TNFSF8" "33153"
"1159" "CD34" "30459"
"1160" "CEBPA" "17415"
"1161" "CEBPE" "17419"
"1162" "CNN2" "41309"
"1163" "KLF6" "15366"
"1164" "CRIP2" "36713"
"1165" "CRKL" "5660"
"1166" "CSF1R" "4145"
"1167" "CSF3" "59193"
"1168" "NKX2-5" "52165"
"1169" "CTNNB1" "40939"
"1170" "DAB2" "12636"
"1171" "EFNA2" "41417"
"1172" "EFNA4" "41414"
"1173" "EGR1" "11014"
"1174" "EPHA2" "43055"
"1175" "EPHB3" "32412"
"1176" "FGF3" "52516"
"1177" "FGF10" "25264"
"1178" "FGFR2" "39317"
"1179" "FOXL1" "36078"
"1180" "FOXE1" "12727"
"1181" "GPC3" "3742"
"1182" "GLI3" "57053"
"1183" "GLO1" "10968"
"1184" "MKNK2" "8319"
"1185" "HHEX" "51230"
"1186" "ONECUT1" "21046"
"1187" "TLX1" "41258"
"1188" "HOXA3" "5096"
"1189" "HOXA9" "5102"
"1190" "HOXB3" "30965"
"1191" "HOXB7" "30969"
"1192" "IRF8" "52724"
"1193" "IL3" "54964"
"1194" "ITGA4" "58"
"1195" "ITGB1" "7928"
"1196" "ITPKB" "25652"
"1197" "JAG2" "47598"
"1198" "JARID2" "5378"
"1199" "JUNB" "46346"
"1200" "KDR" "59510"
"1201" "LMO2" "42934"
"1202" "LRP5" "8367"
"1203" "LTB" "59064"
"1204" "LYL1" "12272"
"1205" "SMAD3" "18027"
"1206" "MFAP2" "40755"
"1207" "KITLG" "46664"
"1208" "MITF" "44825"
"1209" "MMP9" "24870"
"1210" "MYO1E" "34266"
"1211" "NFATC1" "11708"
"1212" "NOTCH4" "3305"
"1213" "NTRK1" "50147"
"1214" "PAFAH1B1" "24706"
"1215" "PAX1" "42333"
"1216" "PBX1" "34105"
"1217" "PDE2A" "16084"
"1218" "PDE1B" "4908"
"1219" "PGM3" "28045"
"1220" "PITX2" "30400"
"1221" "POU1F1" "15390"
"1222" "PPARG" "46467"
"1223" "PRKX" "31265"
"1224" "PRTN3" "5199"
"1225" "RET" "39923"
"1226" "RPA1" "19568"
"1227" "RPL22" "61408"
"1228" "SATB1" "63028"
"1229" "SFRP2" "11095"
"1230" "SIX1" "49610"
"1231" "SOD2" "31598"
"1232" "SPTB" "28017"
"1233" "STK4" "38840"
"1234" "TBX1" "55827"
"1235" "TAZ" "12429"
"1236" "TCF21" "22445"
"1237" "TEK" "42683"
"1238" "TFRC" "36142"
"1239" "TGFBR1" "38316"
"1240" "TPD52" "44185"
"1241" "TPO" "31141"
"1242" "TYR" "3154"
"1243" "VCAM1" "25270"
"1244" "WNT1" "1722"
"1245" "WNT10B" "2164"
"1246" "WNT2B" "22241"
"1247" "ZBTB16" "52746"
"1248" "FZD5" "23359"
"1249" "KAT6A" "60292"
"1250" "PICALM" "59608"
"1251" "FZD7" "62034"
"1252" "FZD8" "23362"
"1253" "FZD9" "62043"
"1254" "LMO4" "42936"
"1255" "PIR" "6744"
"1256" "THOC5" "57337"
"1257" "LY6D" "60417"
"1258" "TNFSF11" "40808"
"1259" "CDK13" "34790"
"1260" "CD164" "45530"
"1261" "SGPL1" "13275"
"1262" "ARTN" "133"
"1263" "ASH2L" "61809"
"1264" "KLF4" "15368"
"1265" "HAND2" "4858"
"1266" "HDAC9" "17345"
"1267" "HDAC4" "17342"
"1268" "MELK" "32430"
"1269" "FARP2" "54602"
"1270" "MAFB" "30665"
"1271" "HDAC5" "17341"
"1272" "SH2B3" "57225"
"1273" "MPZL2" "20604"
"1274" "PRG4" "30368"
"1275" "LRRC17" "10318"
"1276" "ARIH2" "52669"
"1277" "TACC3" "38711"
"1278" "TXNRD2" "59222"
"1279" "EBP" "675"
"1280" "PRDX3" "30386"
"1281" "NCOA6" "4809"
"1282" "NBEAL2" "59975"
"1283" "PATZ1" "25582"
"1284" "TIPARP" "49970"
"1285" "ZBTB32" "36397"
"1286" "IL17C" "29224"
"1287" "DLL1" "35987"
"1288" "OSTM1" "33982"
"1289" "BLNK" "57765"
"1290" "SNX10" "29684"
"1291" "MINK1" "33456"
"1292" "SBDS" "18327"
"1293" "GLRX5" "16769"
"1294" "AHSP" "28350"
"1295" "SIX4" "49606"
"1296" "BCL11A" "63449"
"1297" "WNT4" "1727"
"1298" "TET2" "30354"
"1299" "SNRK" "54957"
"1300" "CHD7" "34457"
"1301" "PCID2" "3633"
"1302" "BARX1" "57223"
"1303" "FAM20C" "14358"
"1304" "CIAPIN1" "54028"
"1305" "TWSG1" "48977"
"1306" "CD248" "13698"
"1307" "TTC7A" "59101"
"1308" "DCLRE1C" "32497"
"1309" "RBM15" "48552"
"1310" "VPS33A" "59570"
"1311" "NKAP" "60160"
"1312" "ROGDI" "35317"
"1313" "NHEJ1" "44006"
"1314" "SPEF2" "8215"
"1315" "CTC1" "12407"
"1316" "KAT8" "38428"
"1317" "KIRREL3" "48702"
"1318" "FUT10" "32580"
"1319" "WNT3A" "45004"
"1320" "ZNF160" "28462"
"1321" "RASGRP4" "12470"
"1322" "OCSTAMP" "36653"
"1323" "GAB3" "18404"
"1324" "GIMAP1" "40385"
"1325" "HIPK1" "35605"
"1326" "RTKN2" "49780"
"1327" "C11orf82" "12765"
"1328" "BAD" "50578"
"1329" "BGLAP" "42260"
"1330" "PRDM1" "59578"
"1331" "CA2" "39186"
"1332" "CALCA" "53744"
"1333" "CDKN2A" "56821"
"1334" "CLPTM1" "41897"
"1335" "DTX1" "54977"
"1336" "ERBB2" "50888"
"1337" "ESRRA" "41471"
"1338" "FSHB" "10405"
"1339" "GLI2" "57052"
"1340" "GNAS" "35171"
"1341" "HOXA7" "5091"
"1342" "IHH" "23078"
"1343" "IL17A" "29222"
"1344" "LIF" "1270"
"1345" "MYC" "59635"
"1346" "NF1" "43825"
"1347" "NME1" "43267"
"1348" "PNP" "18126"
"1349" "PRKCA" "54710"
"1350" "ZEB1" "11066"
"1351" "TFE3" "55122"
"1352" "KLF10" "51065"
"1353" "OGT" "40060"
"1354" "IL1RL2" "13505"
"1355" "INPP4B" "12928"
"1356" "VNN1" "16387"
"1357" "SART1" "43597"
"1358" "GPR55" "47349"
"1359" "CD83" "25944"
"1360" "ADIPOQ" "45546"
"1361" "CARTPT" "40738"
"1362" "RNF41" "42564"
"1363" "HAX1" "29955"
"1364" "TOB2" "19083"
"1365" "SPINK5" "46159"
"1366" "LILRB4" "41793"
"1367" "LILRB3" "41794"
"1368" "IKZF3" "33603"
"1369" "PRELID1" "28851"
"1370" "IL36B" "51654"
"1371" "TMEM176B" "45991"
"1372" "IL20" "2355"
"1373" "TMEM176A" "45989"
"1374" "CTNNBIP1" "19140"
"1375" "PRDM16" "34490"
"1376" "FAM213A" "26046"
"1377" "NFKBID" "5498"
"1378" "PPARGC1B" "46024"
"1379" "ZBTB46" "43729"
"1380" "TMEM64" "14950"
"1381" "ZNF675" "22549"
"1382" "SIGLEC15" "5955"
"1383" "NRARP" "15554"
"1384" "S100A8" "14997"
"1385" "S100A9" "35720"
"1386" "SELE" "64425"
"1387" "FLT1" "31222"
"1388" "LGALS3" "34297"
"1389" "MYO9B" "32228"
"1390" "NBL1" "1347"
"1391" "SERPINE1" "44670"
"1392" "PDGFB" "26285"
"1393" "PTPRO" "52365"
"1394" "S100A7" "35726"
"1395" "CCL7" "43077"
"1396" "CCL23" "18923"
"1397" "CXCL12" "62882"
"1398" "PLA2G7" "1566"
"1399" "SLIT2" "43046"
"1400" "GREM1" "27699"
"1401" "FIGF" "52691"
"1402" "CCL11" "12285"
"1403" "VEGFB" "31886"
"1404" "VEGFC" "31885"
"1405" "ACVR1B" "44660"
"1406" "ACVR2A" "21072"
"1407" "ADK" "46331"
"1408" "ADORA1" "16601"
"1409" "ADORA2A" "60148"
"1410" "AHR" "16169"
"1411" "AMBP" "53031"
"1412" "SLC25A6" "61251"
"1413" "APOD" "19853"
"1414" "AQP3" "16569"
"1415" "ARNT" "55632"
"1416" "BDKRB1" "60912"
"1417" "BMP5" "34415"
"1418" "BTC" "45872"
"1419" "CALM3" "423"
"1420" "CAV1" "20255"
"1421" "CD5" "49017"
"1422" "CD81" "25942"
"1423" "CDH1" "47671"
"1424" "CDK6" "54673"
"1425" "CDKN1A" "35667"
"1426" "CDKN1B" "35666"
"1427" "CHRNB2" "33399"
"1428" "CMKLR1" "26759"
"1429" "COL3A1" "61760"
"1430" "MAP3K8" "31324"
"1431" "DPP4" "62345"
"1432" "TSC22D3" "39063"
"1433" "HBEGF" "33404"
"1434" "ECM1" "23182"
"1435" "EDN1" "17711"
"1436" "EDN3" "17713"
"1437" "EDNRA" "19845"
"1438" "EFNB1" "63870"
"1439" "EGF" "56437"
"1440" "EGFR" "47573"
"1441" "ERBB3" "50889"
"1442" "ERBB4" "50893"
"1443" "EREG" "18482"
"1444" "ETS1" "24841"
"1445" "F7" "36661"
"1446" "FCGR2B" "53721"
"1447" "FCGRT" "38998"
"1448" "FGF1" "6676"
"1449" "FGF2" "52521"
"1450" "FGF4" "52512"
"1451" "FGF5" "6611"
"1452" "FGF6" "52504"
"1453" "FGF7" "52502"
"1454" "FGF8" "31657"
"1455" "FGF9" "31656"
"1456" "FGFR1" "39319"
"1457" "FGFR3" "39318"
"1458" "FGFR4" "39315"
"1459" "FKBP1A" "1606"
"1460" "FOXO1" "26964"
"1461" "FOXO3" "26962"
"1462" "MTOR" "21078"
"1463" "GAB1" "18406"
"1464" "GGT1" "52341"
"1465" "CXCR3" "16280"
"1466" "GSK3A" "25168"
"1467" "GSK3B" "25169"
"1468" "NRG1" "29779"
"1469" "NR4A1" "32260"
"1470" "HOXA5" "5094"
"1471" "HOXB8" "30962"
"1472" "HPS1" "63754"
"1473" "HRAS" "28726"
"1474" "HSPA1B" "16043"
"1475" "ICAM2" "29694"
"1476" "ICAM3" "29693"
"1477" "ICAM4" "29692"
"1478" "IFNAR2" "44614"
"1479" "IFNGR1" "61274"
"1480" "IFNGR2" "61275"
"1481" "IGF1" "10788"
"1482" "IGF2" "10782"
"1483" "IGFBP2" "18223"
"1484" "IGHE" "30137"
"1485" "IRS1" "39179"
"1486" "ITGA2" "56"
"1487" "ITGA2B" "316"
"1488" "ITGB7" "7933"
"1489" "JAK1" "15151"
"1490" "KIR2DL1" "62700"
"1491" "KIR2DL2" "62699"
"1492" "KIR2DL3" "62698"
"1493" "KIR2DL4" "62701"
"1494" "KIR2DS1" "26361"
"1495" "KIR3DL1" "20335"
"1496" "KIR3DL2" "20336"
"1497" "KLRC1" "48878"
"1498" "KLRD1" "7905"
"1499" "KRAS" "14871"
"1500" "LEP" "31730"
"1501" "MDM2" "37037"
"1502" "MEIS1" "2434"
"1503" "MEIS2" "2433"
"1504" "FOXO4" "26967"
"1505" "MOV10" "46394"
"1506" "CD200" "46011"
"1507" "MPP1" "33275"
"1508" "MSN" "41676"
"1509" "NFATC3" "56978"
"1510" "NRAS" "43688"
"1511" "ORM1" "3793"
"1512" "ORM2" "3794"
"1513" "PDCD1" "56566"
"1514" "PDGFA" "26284"
"1515" "PDGFRA" "59143"
"1516" "PDGFRB" "22834"
"1517" "PPP3CA" "1266"
"1518" "PPP3R1" "47403"
"1519" "PTPN1" "26854"
"1520" "PTPN11" "466"
"1521" "PURB" "25119"
"1522" "RAF1" "41393"
"1523" "RARRES2" "28829"
"1524" "RPS6KB2" "14566"
"1525" "CCL4" "43078"
"1526" "CCL24" "18926"
"1527" "CXCL11" "54331"
"1528" "SELL" "64417"
"1529" "SELP" "64441"
"1530" "SFTPD" "39031"
"1531" "SHC1" "50892"
"1532" "SOS1" "4624"
"1533" "SOX9" "48856"
"1534" "SOX11" "44679"
"1535" "STK10" "17028"
"1536" "TAC1" "14818"
"1537" "TACR1" "57170"
"1538" "THBS4" "60589"
"1539" "TSC2" "30717"
"1540" "TYK2" "24411"
"1541" "SUMO1" "54292"
"1542" "SCGB1A1" "22385"
"1543" "NR1H2" "30959"
"1544" "YWHAB" "6147"
"1545" "LST1" "24441"
"1546" "FGF23" "48055"
"1547" "MADCAM1" "30517"
"1548" "NCK2" "32973"
"1549" "PIAS1" "27140"
"1550" "SOCS1" "57784"
"1551" "PDE5A" "25655"
"1552" "IRS2" "39180"
"1553" "FGF18" "25257"
"1554" "FGF17" "25265"
"1555" "FGF16" "25266"
"1556" "LDB1" "62906"
"1557" "MAP3K14" "64206"
"1558" "SOCS3" "23252"
"1559" "SOCS6" "57783"
"1560" "KL" "63914"
"1561" "NRG2" "29781"
"1562" "CTR9" "47212"
"1563" "FGF19" "25256"
"1564" "KLRG1" "16391"
"1565" "CD96" "48763"
"1566" "BTN2A2" "17849"
"1567" "ZNHIT1" "20441"
"1568" "OLFM4" "41391"
"1569" "GAS2L1" "2254"
"1570" "HSPH1" "40355"
"1571" "FRS2" "22119"
"1572" "HCST" "38643"
"1573" "TRAFD1" "42406"
"1574" "LILRA1" "48654"
"1575" "CD160" "45527"
"1576" "CDC37" "2062"
"1577" "GLMN" "27336"
"1578" "PADI2" "27707"
"1579" "USP18" "5641"
"1580" "PHLPP2" "11351"
"1581" "TNRC6B" "47638"
"1582" "PLCB1" "55789"
"1583" "PHLPP1" "11353"
"1584" "ICOSLG" "53834"
"1585" "RBFOX2" "42558"
"1586" "DAK" "53692"
"1587" "BLOC1S6" "31876"
"1588" "FGF20" "48056"
"1589" "FGF22" "48054"
"1590" "C5AR2" "16319"
"1591" "SIT1" "17157"
"1592" "TNRC6A" "47639"
"1593" "CD274" "20348"
"1594" "SENP1" "38890"
"1595" "SAC3D1" "50863"
"1596" "CD209" "46009"
"1597" "GAL" "45274"
"1598" "ZNF580" "49967"
"1599" "KLF13" "51062"
"1600" "SIAE" "28907"
"1601" "PAF1" "60214"
"1602" "SIRPG" "10464"
"1603" "SPPL2B" "33757"
"1604" "CAMK1D" "38551"
"1605" "TNRC6C" "47637"
"1606" "TRIB3" "32105"
"1607" "ZP4" "20480"
"1608" "SMAP1" "14716"
"1609" "ZNF335" "51636"
"1610" "MLST8" "41656"
"1611" "MAPKAP1" "53958"
"1612" "CDC73" "34635"
"1613" "TNFAIP8L2" "11712"
"1614" "VTCN1" "24664"
"1615" "WDR61" "61239"
"1616" "PDCD1LG2" "6167"
"1617" "CD276" "49100"
"1618" "ZBP1" "17533"
"1619" "PLVAP" "50135"
"1620" "PARP9" "48031"
"1621" "RNF135" "34218"
"1622" "AKT1S1" "36143"
"1623" "SPPL2A" "33755"
"1624" "THEM4" "26835"
"1625" "TWIST2" "31099"
"1626" "AMICA1" "24879"
"1627" "LEO1" "18087"
"1628" "ANKRD54" "6777"
"1629" "CD200R1" "34739"
"1630" "NRG4" "29782"
"1631" "BTLA" "45036"
"1632" "KLB" "61672"
"1633" "TIGIT" "20030"
"1634" "RICTOR" "11008"
"1635" "MIA3" "47264"
"1636" "BLOC1S3" "31887"
"1637" "GLYCAM1" "19508"
"1638" "KIR2DS2" "26359"
"1639" "CD24" "4509"
"1640" "ADCY1" "2397"
"1641" "ADCY2" "2398"
"1642" "ADCY3" "17279"
"1643" "ADCY5" "2393"
"1644" "ADCY6" "2394"
"1645" "ADCY7" "2395"
"1646" "ADCY8" "2401"
"1647" "ADCY9" "2402"
"1648" "ADRBK1" "44567"
"1649" "AGER" "6188"
"1650" "AIRE" "34107"
"1651" "APP" "18180"
"1652" "FASLG" "58698"
"1653" "AQP4" "16566"
"1654" "AQP9" "16577"
"1655" "ARHGDIB" "50830"
"1656" "ART1" "134"
"1657" "ASS1" "33708"
"1658" "BCL2L1" "13975"
"1659" "BMP6" "34414"
"1660" "BMPR1A" "64161"
"1661" "BST1" "60342"
"1662" "CAMK2A" "15091"
"1663" "CAMK2B" "15092"
"1664" "CAMK2D" "15088"
"1665" "CAMK2G" "15090"
"1666" "CAPZA1" "11595"
"1667" "CAPZA2" "11594"
"1668" "CASP1" "44384"
"1669" "CASP10" "56862"
"1670" "CD7" "49019"
"1671" "MS4A1" "12137"
"1672" "CD44" "53498"
"1673" "CD70" "60186"
"1674" "CD97" "48764"
"1675" "CEBPB" "17414"
"1676" "CEACAM8" "62012"
"1677" "CHIT1" "8408"
"1678" "CCR8" "56781"
"1679" "LTB4R" "29199"
"1680" "CREBBP" "62044"
"1681" "CRIP1" "36711"
"1682" "CTSW" "5218"
"1683" "CYP11B1" "61908"
"1684" "CYP27B1" "448"
"1685" "DAPK1" "16984"
"1686" "DAPK3" "16982"
"1687" "DDOST" "36555"
"1688" "DDX3X" "12155"
"1689" "DHX9" "17938"
"1690" "DEFA4" "5876"
"1691" "DEFA5" "5875"
"1692" "DEFA6" "5874"
"1693" "DEFB1" "31694"
"1694" "DEFB4A" "14816"
"1695" "EDA" "49518"
"1696" "EP300" "41149"
"1697" "EPRS" "15594"
"1698" "F12" "15481"
"1699" "FCAR" "26783"
"1700" "FCGR3B" "30602"
"1701" "FTH1" "16675"
"1702" "IFI6" "36002"
"1703" "GAPDH" "38448"
"1704" "GBP2" "64050"
"1705" "GCH1" "15970"
"1706" "GEM" "12888"
"1707" "GPI" "17485"
"1708" "CCR10" "30678"
"1709" "CXCL1" "39320"
"1710" "CXCL2" "39322"
"1711" "CXCL3" "39321"
"1712" "GZMA" "55352"
"1713" "GZMM" "55354"
"1714" "MNX1" "30292"
"1715" "HRH2" "49438"
"1716" "IFI27" "44631"
"1717" "IFI35" "4505"
"1718" "IGF1R" "57984"
"1719" "IGHA1" "31377"
"1720" "IGHA2" "31375"
"1721" "IGHD" "29290"
"1722" "IGJ" "63627"
"1723" "IGLL1" "5099"
"1724" "IK" "62356"
"1725" "IL1A" "12010"
"1726" "IL1R1" "57803"
"1727" "IL1RAP" "23207"
"1728" "IL2RG" "34764"
"1729" "IL9" "54970"
"1730" "IL10RB" "19697"
"1731" "IL16" "12048"
"1732" "ILF2" "1780"
"1733" "IRF2" "52707"
"1734" "IRF6" "52711"
"1735" "ITGAD" "108"
"1736" "KIR2DS4" "26357"
"1737" "KIR2DS5" "26358"
"1738" "KIR3DS1" "34169"
"1739" "KLRC2" "48880"
"1740" "LCN2" "15570"
"1741" "LY75" "21034"
"1742" "SMAD6" "18022"
"1743" "MBP" "13944"
"1744" "MEFV" "14028"
"1745" "MAP3K5" "31333"
"1746" "CIITA" "44474"
"1747" "MRE11A" "40189"
"1748" "CITED1" "2741"
"1749" "MST1R" "27992"
"1750" "MT2A" "17188"
"1751" "NAIP" "56689"
"1752" "NCAM1" "26190"
"1753" "NFIL3" "51417"
"1754" "OPRD1" "43487"
"1755" "OSM" "14049"
"1756" "PAX5" "42329"
"1757" "PDE1A" "55444"
"1758" "PDE1C" "55442"
"1759" "ENPP1" "49174"
"1760" "ENPP2" "49171"
"1761" "ENPP3" "49173"
"1762" "PF4V1" "27834"
"1763" "PIN1" "25084"
"1764" "EXOSC9" "23756"
"1765" "POLR2E" "61790"
"1766" "POLR2F" "61800"
"1767" "POLR2H" "54116"
"1768" "POLR2K" "54117"
"1769" "POLR2L" "54114"
"1770" "POU2AF1" "13303"
"1771" "PPBP" "46075"
"1772" "PRG2" "58996"
"1773" "PRKACA" "18750"
"1774" "PRKACB" "18751"
"1775" "PRKACG" "18749"
"1776" "PRKAR1A" "26459"
"1777" "PRKAR1B" "26460"
"1778" "PRKAR2A" "312"
"1779" "PRKAR2B" "313"
"1780" "PRKCG" "54714"
"1781" "PRKD1" "15254"
"1782" "PRKCSH" "17145"
"1783" "PRSS2" "16467"
"1784" "PRSS3" "16466"
"1785" "PTAFR" "43364"
"1786" "PVRL1" "6937"
"1787" "MAP4K2" "29754"
"1788" "RFX1" "35446"
"1789" "RGS1" "4454"
"1790" "S100B" "56824"
"1791" "SAA1" "57365"
"1792" "CCL1" "43076"
"1793" "CCL8" "43080"
"1794" "CCL13" "12287"
"1795" "CCL14" "12288"
"1796" "CCL15" "12290"
"1797" "CCL16" "12294"
"1798" "CCL17" "12295"
"1799" "CCL18" "12296"
"1800" "CCL20" "18922"
"1801" "CCL22" "18924"
"1802" "CCL25" "18925"
"1803" "CXCL6" "39327"
"1804" "CXCL5" "39323"
"1805" "CX3CL1" "46028"
"1806" "SECTM1" "51944"
"1807" "ST6GAL1" "14602"
"1808" "SP2" "33729"
"1809" "SP100" "24133"
"1810" "SRPK1" "60908"
"1811" "SRPK2" "60911"
"1812" "TRIM21" "23070"
"1813" "STAR" "52659"
"1814" "XCL2" "41534"
"1815" "TCF12" "29122"
"1816" "TRGC2" "28015"
"1817" "TRGV3" "39277"
"1818" "TDGF1" "894"
"1819" "TNFAIP1" "39654"
"1820" "TNFRSF1B" "52954"
"1821" "TXN" "29040"
"1822" "UBA7" "58035"
"1823" "VIPR1" "29525"
"1824" "XBP1" "10403"
"1825" "TRIM26" "23068"
"1826" "PXDN" "28943"
"1827" "IL1R2" "57802"
"1828" "TFEB" "55132"
"1829" "GPR65" "5353"
"1830" "IKBKAP" "16045"
"1831" "CST7" "17376"
"1832" "APOL1" "25534"
"1833" "PRKRA" "35773"
"1834" "S1PR4" "54647"
"1835" "TNFSF12" "40806"
"1836" "TNFSF10" "40809"
"1837" "IL18RAP" "1481"
"1838" "APLN" "43594"
"1839" "TAX1BP1" "34364"
"1840" "ENDOU" "19371"
"1841" "KYNU" "36261"
"1842" "PSTPIP1" "29666"
"1843" "FCGR2C" "53722"
"1844" "ATG12" "43328"
"1845" "ARHGEF2" "24028"
"1846" "LRRFIP1" "23824"
"1847" "IL32" "28378"
"1848" "UBE2L6" "17737"
"1849" "NCR2" "4895"
