"Gene" "Idx"
"220" "NBN" "11321"
"221" "PMS2P1" "18238"
"222" "PMS2P5" "35754"
"223" "PMS2" "27987"
"224" "PRKDC" "15188"
"225" "RAG2" "63853"
"226" "STAT6" "62439"
"227" "SUPT6H" "47736"
"228" "TCF7" "30306"
"229" "TNFSF4" "33155"
"230" "UNG" "52785"
"231" "XRCC4" "2423"
"232" "TNFSF13" "40805"
"233" "RNF8" "35430"
"234" "EXO1" "46708"
"235" "IL27RA" "55241"
"236" "VPRBP" "2040"
"237" "THOC1" "57334"
"238" "PAXIP1" "2037"
"239" "SWAP70" "17976"
"240" "CLCF1" "32074"
"241" "FOXP1" "26606"
"242" "POLL" "29207"
"243" "POLM" "29206"
"244" "TBX21" "50867"
"245" "EXOSC3" "23759"
"246" "LEF1" "55398"
"247" "CTNNBL1" "56935"
"248" "AICDA" "7960"
"249" "BCL11B" "63450"
"250" "NDFIP1" "26676"
"251" "EXOSC6" "23761"
"252" "RNF168" "43722"
"253" "NUGGC" "50531"
"254" "ADAM8" "14890"
"255" "BIRC2" "35739"
"256" "BIRC3" "39475"
"257" "XIAP" "25462"
"258" "ATF1" "31786"
"259" "BTK" "45877"
"260" "C1QBP" "8094"
"261" "CASP8" "44386"
"262" "CD14" "46485"
"263" "CD36" "30460"
"264" "CDK1" "500"
"265" "CHUK" "61782"
"266" "CREB1" "33941"
"267" "ATF2" "38802"
"268" "MAPK14" "23349"
"269" "CTSB" "5207"
"270" "CTSK" "5203"
"271" "CTSS" "5216"
"272" "CYLD" "40120"
"273" "DMBT1" "22809"
"274" "DUSP3" "62510"
"275" "DUSP4" "62506"
"276" "DUSP6" "62508"
"277" "DUSP7" "62507"
"278" "ELK1" "38210"
"279" "FOS" "11983"
"280" "LRRC32" "26707"
"281" "GFI1" "39759"
"282" "HCK" "12506"
"283" "IFI16" "23804"
"284" "IRAK1" "44630"
"285" "IRAK2" "44628"
"286" "IRF1" "52708"
"287" "IRF3" "52706"
"288" "IRF7" "52710"
"289" "ITGAM" "106"
"290" "ITGB2" "7930"
"291" "LBP" "45187"
"292" "LTF" "59068"
"293" "MEF2A" "42108"
"294" "MAP3K1" "31329"
"295" "MOG" "4353"
"296" "MYD88" "39624"
"297" "NFKB1" "11325"
"298" "NFKB2" "11326"
"299" "NFKBIA" "5497"
"300" "NFKBIB" "5495"
"301" "NFKBIL1" "39220"
"302" "PDPK1" "58922"
"303" "PIK3C3" "53337"
"304" "PPP2R5D" "51994"
"305" "PRKCE" "54712"
"306" "MAPK1" "12255"
"307" "MAPK3" "12253"
"308" "MAPK7" "12257"
"309" "MAPK8" "12259"
"310" "MAPK11" "23352"
"311" "MAPK9" "12260"
"312" "MAPK10" "23351"
"313" "MAP2K1" "33450"
"314" "MAP2K2" "33449"
"315" "MAP2K3" "33448"
"316" "MAP2K6" "33452"
"317" "MAP2K7" "33451"
"318" "LGMN" "3418"
"319" "RELA" "10712"
"320" "RPS6KA1" "37987"
"321" "RPS6KA2" "37988"
"322" "RPS6KA3" "37989"
"323" "RPS27A" "59923"
"324" "MAP2K4" "33454"
"325" "MAP3K7" "31331"
"326" "TLR1" "55095"
"327" "TLR4" "55098"
"328" "TLR5" "55099"
"329" "HSP90B1" "34680"
"330" "TRAF3" "30833"
"331" "UBA52" "4964"
"332" "UBB" "25176"
"333" "UBC" "25177"
"334" "UBE2D1" "19826"
"335" "UBE2D2" "19824"
"336" "UBE2D3" "19825"
"337" "UBE2N" "39375"
"338" "UBE2V1" "40916"
"339" "MAPKAPK3" "10285"
"340" "MARCO" "1345"
"341" "RIPK1" "2782"
"342" "RIPK2" "2784"
"343" "BCL10" "48574"
"344" "RPS6KA5" "37991"
"345" "MAPKAPK2" "10286"
"346" "AIM2" "59313"
"347" "NR1D1" "367"
"348" "IKBKE" "46636"
"349" "TRIL" "42140"
"350" "NR1H3" "30960"
"351" "TNIP1" "40328"
"352" "NOD1" "44136"
"353" "TAB1" "54272"
"354" "CNPY3" "18144"
"355" "IRAK3" "44629"
"356" "SARM1" "13607"
"357" "TAB2" "54271"
"358" "RFTN1" "37677"
"359" "DDX58" "28457"
"360" "LY96" "7995"
"361" "SIN3A" "54249"
"362" "LSM14A" "51401"
"363" "TBK1" "20606"
"364" "PIK3R4" "26136"
"365" "IRAK4" "44632"
"366" "TLR9" "55101"
"367" "LGR4" "35663"
"368" "DDX60" "2449"
"369" "ZC3HAV1" "63135"
"370" "PELI2" "60891"
"371" "PELI1" "60889"
"372" "S100A14" "16783"
"373" "MAVS" "26603"
"374" "NLRC4" "17630"
"375" "CACTIN" "16048"
"376" "IFIH1" "22663"
"377" "CARD9" "23991"
"378" "CLEC7A" "20313"
"379" "DHX58" "46073"
"380" "TNIP2" "40326"
"381" "NLRX1" "51175"
"382" "TNIP3" "40327"
"383" "COLEC12" "47459"
"384" "UNC93B1" "20090"
"385" "TLR10" "1311"
"386" "ITCH" "1221"
"387" "TRIM5" "4129"
"388" "TRIM15" "45759"
"389" "RSAD2" "18638"
"390" "BPIFB1" "15077"
"391" "TIRAP" "44972"
"392" "MB21D1" "33353"
"393" "PIK3AP1" "55376"
"394" "REG3G" "51418"
"395" "TICAM1" "17315"
"396" "DAB2IP" "36944"
"397" "NLRP6" "29455"
"398" "TAB3" "54270"
"399" "TMEM173" "56738"
"400" "TICAM2" "17316"
"401" "USP17L2" "24457"
"402" "IRG1" "13331"
"403" "APOA4" "42174"
"404" "SH2D1B" "4355"
"405" "PML" "41645"
"406" "CREB3" "4294"
"407" "APOBEC3G" "61851"
"408" "APOBEC3F" "61852"
"409" "BMP4" "34416"
"410" "RUNX1" "55754"
"411" "CDKN2B" "43047"
"412" "CHD2" "34447"
"413" "ACE" "20579"
"414" "ERCC2" "13679"
"415" "GABPA" "37137"
"416" "GATA1" "59899"
"417" "GATA2" "59896"
"418" "HOXB4" "30971"
"419" "PRMT1" "45984"
"420" "HES1" "44750"
"421" "IL11" "12045"
"422" "INHBA" "48926"
"423" "KIT" "52905"
"424" "MLF1" "34015"
"425" "NOTCH1" "3312"
"426" "PF4" "16046"
"427" "PIP4K2A" "22766"
"428" "PLEK" "48298"
"429" "MED1" "30284"
"430" "EIF2AK2" "50025"
"431" "PSEN1" "29462"
"432" "PSEN2" "29461"
"433" "SFRP1" "53334"
"434" "SHH" "35922"
"435" "SOX4" "48867"
"436" "SP1" "33728"
"437" "SRF" "50009"
"438" "TAL1" "40442"
"439" "THPO" "56870"
"440" "XRCC5" "2422"
"441" "ZNF16" "48595"
"442" "HYAL2" "44430"
"443" "ABI1" "16961"
"444" "WASF2" "40492"
"445" "FSTL3" "25140"
"446" "CITED2" "2740"
"447" "N4BP2L2" "3337"
"448" "FST" "35202"
"449" "CIB1" "26677"
"450" "KDM1A" "827"
"451" "ZNF385A" "23146"
"452" "L3MBTL1" "60558"
"453" "TESC" "2337"
"454" "THSD1" "33790"
"455" "ZFAT" "38491"
"456" "MIXL1" "31727"
"457" "SCIN" "31307"
"458" "FNIP1" "22428"
"459" "SP7" "33734"
"460" "ZFPM1" "56431"
"461" "FLCN" "26784"
"462" "HES5" "44754"
"463" "HIST2H4B" "46564"
"464" "CBLB" "41761"
"465" "CD3E" "30499"
"466" "CLC" "18336"
"467" "ADA" "46327"
"468" "ALOX15" "46807"
"469" "BCL3" "2613"
"470" "C1QA" "60139"
"471" "C1QB" "60138"
"472" "C1QC" "60137"
"473" "C1R" "35382"
"474" "C1S" "35381"
"475" "C2" "57672"
"476" "C4A" "44686"
"477" "C4B" "44705"
"478" "C4BPA" "26838"
"479" "C4BPB" "26839"
"480" "C5" "57675"
"481" "C7" "57673"
"482" "C8A" "8387"
"483" "C8B" "8388"
"484" "C8G" "47572"
"485" "C9" "57670"
"486" "CD8A" "25969"
"487" "CD27" "4506"
"488" "CD80" "25943"
"489" "CD74" "60185"
"490" "CLU" "46786"
"491" "CR1" "37083"
"492" "CR2" "37081"
"493" "CRP" "37053"
"494" "CD55" "14140"
"495" "FCER2" "53794"
"496" "FOXJ1" "35678"
"497" "GNL1" "46647"
"498" "HLA-DMA" "26552"
"499" "HLA-DQB1" "505"
"500" "HLA-DRB1" "34877"
"501" "HLA-DRB5" "34879"
"502" "HLX" "49473"
"503" "HPX" "14827"
"504" "CFI" "209"
"505" "IFNA2" "49285"
"506" "IFNA4" "33324"
"507" "IFNA5" "49289"
"508" "IFNA6" "33316"
"509" "IFNA7" "49287"
"510" "IFNA8" "49282"
"511" "IFNA10" "63534"
"512" "IFNA13" "63532"
"513" "IFNA14" "63537"
"514" "IFNA16" "63536"
"515" "IFNA17" "63535"
"516" "IFNA21" "5830"
"517" "IFNB1" "8344"
"518" "IFNW1" "4702"
"519" "IGHG1" "15072"
"520" "IGHG2" "15073"
"521" "IGHG3" "15074"
"522" "IGHG4" "15071"
"523" "IGKC" "22519"
"524" "IGLC1" "33120"
"525" "IGLC2" "33121"
"526" "IGLC3" "33122"
"527" "IGLC6" "33117"
"528" "IL1B" "12011"
"529" "IL4R" "18653"
"530" "IL6ST" "34625"
"531" "INPP5D" "27754"
"532" "LTA" "59065"
"533" "CD46" "53500"
"534" "NEDD4" "12550"
"535" "PIK3CG" "53320"
"536" "POU2F2" "59373"
"537" "PRKCD" "54713"
"538" "PRKCQ" "54719"
"539" "PRKCZ" "54715"
"540" "TRIM27" "23069"
"541" "RORA" "22065"
"542" "RORC" "22063"
"543" "SLC11A1" "14168"
"544" "SYK" "54834"
"545" "ADAM17" "1923"
"546" "TNF" "17002"
"547" "TRAF2" "30832"
"548" "ZAP70" "34071"
"549" "TNFRSF11A" "63955"
"550" "IL18R1" "32723"
"551" "IL1RL1" "13504"
"552" "GCNT3" "630"
"553" "SOCS5" "57780"
"554" "IL18BP" "28586"
"555" "EBI3" "31040"
"556" "BTN3A3" "48316"
"557" "CXCL13" "54333"
"558" "BTN3A2" "48315"
"559" "DUSP10" "43474"
"560" "SIRT1" "40620"
"561" "TNFRSF21" "13535"
"562" "IGKV1-5" "43063"
"563" "IGHV3-23" "32885"
"564" "IGHV2-70" "15887"
"565" "IGLV7-43" "51872"
"566" "IGLC7" "61023"
"567" "IGKV3D-20" "63471"
"568" "IGKV3D-11" "46726"
"569" "IGKV1D-33" "39779"
"570" "IGKV4-1" "61320"
"571" "IGKV3-20" "64304"
"572" "IGKV2-40" "10668"
"573" "C1RL" "30586"
"574" "SASH3" "19287"
"575" "TRPM4" "25866"
"576" "IFNK" "27238"
"577" "SAMSN1" "2021"
"578" "SEMA4A" "62605"
"579" "SLA2" "18710"
"580" "KLHL6" "16808"
"581" "IL33" "28379"
"582" "RC3H1" "52415"
"583" "IL27" "2359"
"584" "NLRP10" "29507"
"585" "IFNE" "27241"
"586" "CCR2" "56775"
"587" "GP2" "17480"
"588" "IL6R" "35006"
"589" "PIGR" "50091"
"590" "OTUD7B" "16130"
"591" "RAB17" "45051"
"592" "ABL1" "14082"
"593" "ABR" "60086"
"594" "ACTB" "24723"
"595" "ACTG1" "46850"
"596" "ADAR" "55536"
"597" "ADARB1" "11499"
"598" "ADORA2B" "60154"
"599" "ADORA3" "16602"
"600" "AP2A1" "18332"
"601" "AP2A2" "18334"
"602" "AP1B1" "51849"
"603" "AP2B1" "11717"
"604" "AP1G1" "60615"
"605" "ANXA3" "27911"
"606" "APOA1" "30084"
"607" "APOA2" "30085"
"608" "APOBEC1" "55753"
"609" "ARF1" "53441"
"610" "ATP7A" "16055"
"611" "BCR" "34274"
"612" "CFB" "211"
"613" "POLR3D" "14652"
"614" "BNIP3" "47501"
"615" "BNIP3L" "16047"
"616" "BST2" "60344"
"617" "CD1C" "46430"
"618" "CD3G" "30500"
"619" "CD247" "4416"
"620" "CD4" "49016"
"621" "CD8B" "42537"
"622" "CD47" "53499"
"623" "CDC42" "41901"
"624" "CFL1" "49343"
"625" "AP2M1" "53186"
"626" "AP1S1" "24592"
"627" "AP2S1" "39347"
"628" "CRHR1" "12773"
"629" "CRK" "37059"
"630" "CXADR" "10856"
"631" "DBH" "30264"
"632" "CFD" "1463"
"633" "DOCK1" "41143"
"634" "GPR183" "37908"
"635" "PTK2B" "59145"
"636" "MS4A2" "12134"
"637" "FCGR1A" "46634"
"638" "FCGR2A" "53723"
"639" "FCGR3A" "30601"
"640" "FER" "26232"
"641" "FES" "26233"
"642" "FGR" "7976"
"643" "FOXF1" "3129"
"644" "FUT7" "24642"
"645" "FYN" "53713"
"646" "GBP1" "64051"
"647" "GBP3" "64049"
"648" "GRB2" "54049"
"649" "CFH" "208"
"650" "CFHR1" "49761"
"651" "HMOX1" "22398"
"652" "HSP90AA1" "60695"
"653" "HSP90AB1" "54030"
"654" "IFIT2" "52420"
"655" "IFIT1" "52421"
"656" "IFIT3" "52419"
"657" "IFNAR1" "44617"
"658" "IL5" "54962"
